identifier,author,name,genre,text,url,ipfsHash,type,usageInfo,txHash,iscnId
11,王昌齡,塞下曲,樂府,飲馬渡秋水，水寒風似刀。平沙日未沒，黯黯見臨洮。昔日長城戰，咸言意氣高。黃塵足今古，白骨亂蓬蒿。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000004&id=00000011,QmTsUVaLbDtSDyfDZQRZ2CnGAnjaJvhedAkTU66BEtsxu7,CreativeWork,No Rights Reserved,481C5820E1EF8C355327FA3DFF923A3DECC00CB85F187B26C2924423CE9A8A10,iscn://likecoin-chain/FQOB7oL_634BvFzN1iDzDoPVTQVi1C1oUMd2Vx3TR3U/1
12,王昌齡,芙蓉樓送辛漸,七言絕句,寒雨連江夜入吳，平明送客楚山孤。洛陽親友如相問，一片冰心在玉壺。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000004&id=00000012,QmVSca2oMVD1pHhkqHXGgnn5vrCHAgEF7qv9iB3h2mWMPP,CreativeWork,No Rights Reserved,585C4E9D2908EDC94F4B161061ECC823E4CF705F04575DD72AB5FC0606D14AB5,iscn://likecoin-chain/jB_q-g6egiWK3xGB9arb4pgllWPxFmzqrfMr4ZncMq0/1
13,王昌齡,閨怨,七言絕句,閨中少婦不知愁，春日凝妝上翠樓。忽見陌頭楊柳色，悔教夫婿覓封侯。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000004&id=00000013,QmezEoeYtjGdi6KgEp9VhYogP2me9sU7KMnZomHTvicsYc,CreativeWork,No Rights Reserved,491C8C41874C0B92070AB4322A6312C984C1E98EAED49C1C738D0065649D716A,iscn://likecoin-chain/QrqXcAWSY7ymDLXwdVDAPB9zE3j2eAwF1V7OZJG8O7I/1
14,王昌齡,春宮曲,七言絕句,昨夜風開露井桃，未央前殿月輪高。平陽歌舞新承寵，簾外春寒賜錦袍。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000004&id=00000014,QmeeZEuD3awvCUsnyrPbr63P2fr3ePsWuWWwqRpwnwMHdu,CreativeWork,No Rights Reserved,3BAD3BF5E03094566938FC9ADB10AE006368AE39A0765D516675E00DDD53EC6B,iscn://likecoin-chain/haHj8z1eDLjbqva3bSGXpgZz00djHqnyj7XRQ2ZW0ho/1
15,王昌齡,長信怨,樂府,奉帚平明金殿開，暫將團扇共徘徊。玉顏不及寒鴉色，猶帶昭陽日影來。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000004&id=00000015,Qmb8TtnzpGjxwrHPyHTXj3Eb8LPfQcVnwZALTzhDFUmpSn,CreativeWork,No Rights Reserved,91BBFC76B4CF0EDE8B90EE3D983F32339F3CD1BF07E80B66DFE8615535E22BDC,iscn://likecoin-chain/1SXutKHtTfRtoqgz9ueSRBrSIdKecPx7q7gOsz1Ly4c/1
16,王昌齡,出塞,樂府,秦時明月漢時關，萬里長征人未還。但使龍城飛將在，不教胡馬度陰山。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000004&id=00000016,QmWFnNGrwzNdXp6hiF8wBdpknNSj4hwayB26nYYzoP83iB,CreativeWork,No Rights Reserved,42628D25BDD8D0EDAA8C2EC6C9E4F6DA31C7C76CDA1D897304EC2BA1A88A4217,iscn://likecoin-chain/hlu5vRpR_nNopSLRjnoAd-I2PGECAyCJdFFcsC4TilA/1
17,王勃,杜少府之任蜀州,五言律詩,城闕輔三秦，風煙望五津。與君離別意，同是宦遊人。海內存知己，天涯若比鄰。無為在歧路，兒女共沾巾。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000005&id=00000017,QmcqQffaUQyRBwRTrdFJqJ6uHvptGagWs8C2MsRSKGj6in,CreativeWork,No Rights Reserved,CA969A0DA669D42F74D9136498EC3B461D3306B99777C727B227A47EDA05C96D,iscn://likecoin-chain/3hz3jkwjzn54dXl9nsW4oBpYRLNLUzoidksGxx17gNI/1
18,王建,新嫁娘詞,五言絕句,三日入廚下，洗手作羹湯。未諳姑食性，先遣小姑嘗。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000006&id=00000018,QmaErLBT7z3aufeK5CtjS4hpYwJzcPw2naFSF3o9XhXcGT,CreativeWork,No Rights Reserved,1FE5800A9DBDD377A82CB245C67450FB96CEB03D887527F33848AEE4A865691A,iscn://likecoin-chain/MBL5EeqGu9eG4XQHbMr_6AFZkvhGFHBX455U-ebIEaQ/1
19,王維,送別,五言古詩,下馬飲君酒，問君何所之？君言不得意，歸臥南山陲。但去莫復問，白雲無盡時。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000019,QmYQb9kn9T1wmohrzo5KvtPTiujiAEqxM46VifT8SaexdB,CreativeWork,No Rights Reserved,85822D45C867C5EFF4A6A9A108BEFF7B548305E14C3F16260F323FDC0E7B922A,iscn://likecoin-chain/C5CLaaWQvNhbd8rrFZHQO-NQgm5bvm7M7GbPQgZw4qU/1
20,王維,送綦毋潛落第還鄉,五言古詩,聖代無隱者，英靈盡來歸。遂令東山客，不得顧採薇。既至金門遠，孰云吾道非。江淮度寒食，京洛縫春衣。置酒長安道，同心與我違。行當浮桂棹，未幾拂荊扉。遠樹帶行客，孤城當落暉。吾謀適不用，勿謂知音稀。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000020,QmagoyVwcAzdBW2AAvqhWSHi3CcLGwaLxF2naAK7NrArs1,CreativeWork,No Rights Reserved,48F85DD04D7A04022B639FA3BA36B181538B88BE615D17F4B8A57E749732D7BC,iscn://likecoin-chain/2dgjaaRJ4JE9WW2pVG_eaJ5EHW9_Seg1VzvNCkV-0Yg/1
21,王維,青溪,五言古詩,言入黃花川，每逐青谿水。隨山將萬轉，趣途無百里。聲喧亂石中，色靜深松裡。漾漾汎菱荇，澄澄映葭葦。我心素以閒，清川澹如此。請留盤石上，垂釣將已矣。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000021,QmQ2Dq1YSep6ZjwaVGU5iu6bKh1PAys34qUhnzoYJmAp85,CreativeWork,No Rights Reserved,B257ED15451A7FB8909C8FCA72066890817C8C7295A35FC605ED1496AAB650B9,iscn://likecoin-chain/7P8taBzes_aUz1GA6prWoxslnBHZn7M-UJWwZaCM9E0/1
22,王維,渭川田家,五言古詩,斜陽照墟落，窮巷牛羊歸。野老念牧童，倚杖候荊扉。雉雊麥苗秀，蠶眠桑葉稀。田夫荷鋤至，相見語依依。即此羨閒逸，悵然吟式微。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000022,QmVJNtS7icbZpzdrfQKeYvYYzxTy5TX1MYRyNrJgnZRdSz,CreativeWork,No Rights Reserved,E27569540F46BBCDDCC44DB596B7F8C12371B972D1CCFCA96B969A74042D3D27,iscn://likecoin-chain/ni-ovvVishg72aXUuR4fuiOWjGsj-lAFaBNi0Srw87U/1
23,王維,西施詠,五言古詩,艷色天下重，西施寧久微？朝為越溪女，暮作吳宮妃。賤日豈殊眾，貴來方悟稀。邀人傅香粉，不自著羅衣。君寵益驕態，君憐無是非。當時浣紗伴，莫得同車歸。持謝鄰家子，效顰安可希？,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000023,QmejvfFMiFDfVCxCAoq9yWnQKEbqdCkXku1U4bSgVcW1PN,CreativeWork,No Rights Reserved,74A6472DFC510C88E75CD7048526DA8866B2E1F62DA6CB288871E872B1E8C0FB,iscn://likecoin-chain/ycmdeNruSVpe63Nt-1h_0uapVpG7ZYSscvrVOZMd32g/1
24,王維,洛陽女兒行,樂府,洛陽女兒對門居，纔可容顏十五餘。良人玉勒乘驄馬，侍女金盤膾鯉魚。畫閣朱樓盡相望，紅桃綠柳垂簷向。羅幃送上七香車，寶扇迎歸九華帳。狂夫富貴在青春，意氣驕奢劇季倫。自憐碧玉親教舞，不惜珊瑚持與人。春窗曙滅九微火，九微片片飛花璅。戲罷曾無理曲時，妝成祇是薰香坐。城中相識盡繁華，日夜經過趙李家。誰憐越女顏如玉，貧賤江頭自浣紗。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000024,QmYjEQTLbhM1KHwa7tRiZMPd2M6RvYL4RpcuyZHsTb74Du,CreativeWork,No Rights Reserved,83FBC49D0E450F18C13D1CCBD0A9A274ED9EA93D515B9E68C2EB11C2BC2EC659,iscn://likecoin-chain/romQxUrb31ByI1_db1AT3yC5HPDhPSbfe8UJDeNVgM8/1
25,王維,老將行,樂府,少年十五二十時，步行奪得胡馬騎。射殺山中白額虎，肯數鄴下黃鬚兒？一身轉戰三千里，一劍曾當百萬師。漢兵奮迅如霹靂，虜騎崩騰畏蒺藜。衛青不敗由天幸，李廣無功緣數奇。自從棄置便衰朽，世事蹉跎成白首。昔時飛箭無全目，今日垂楊生左肘。路旁時賣故侯瓜，門前學種先生柳。蒼茫古木連窮巷，寥落寒山對虛牖。誓令疏勒出飛泉，不似潁川空使酒。賀蘭山下陣如雲，羽檄交馳日夕聞。節使三河募年少，詔書五道出將軍。試拂鐵衣如雪色，聊持寶劍動星文。願得燕弓射大將，恥將越甲鳴吾君。莫嫌舊日雲中守，猶堪一戰立功勳。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000025,QmbECFvM1f9XfihV7sUYVeHX1qhgzLzntTV4H4sGAf4mQs,CreativeWork,No Rights Reserved,83F7B9E2B8571517EC6A48192958DF96E502A6BE5AF1A40CE6594BFADF7ABC85,iscn://likecoin-chain/XLoBeLTABRa0--U_hV4E7xYyuUwK2l4EK_kmUUhIOb8/1
